"names","center_x","center_y","cluster_no","cell_type"
"2997859600415100219-mPFC_NF3_r1-mPFC","11592.9852467981","1081.9099899208","14","N_Sept4/Crym"
"2997859600415100227-mPFC_NF3_r1-mPFC","11541.8133664523","1083.11526628756","4","N_Arhgap25"
"2997859600415100264-mPFC_NF3_r1-mPFC","11585.2141262004","997.237892371665","13","N_Sst"
"2997859600415100272-mPFC_NF3_r1-mPFC","11583.3823683571","1027.80737249994","16","N_Dusp1"
"2997859600415100291-mPFC_NF3_r1-mPFC","11551.3862506069","1080.28738862476","14","N_Sept4/Crym"
"2997859600415100305-mPFC_NF3_r1-mPFC","11580.6536369113","1082.68551126449","14","N_Sept4/Crym"
"2997859600415200004-mPFC_NF3_r1-mPFC","11602.0140395376","979.887683360322","13","N_Sst"
"2997859600415200012-mPFC_NF3_r1-mPFC","11556.3172179524","1011.23771580241","14","N_Sept4/Crym"
"2997859600415200032-mPFC_NF3_r1-mPFC","11596.1779416074","1087.4471280046","14","N_Sept4/Crym"
"2997859600416100079-mPFC_NF3_r1-mPFC","11667.3827016968","1004.98551533724","13","N_Sst"
"2997859600416100087-mPFC_NF3_r1-mPFC","11623.3475490657","1011.06385940079","14","N_Sept4/Crym"
"2997859600416100096-mPFC_NF3_r1-mPFC","11667.8116290726","1010.78382323509","2","N_Baiap3"
"2997859600416100106-mPFC_NF3_r1-mPFC","11698.0268584184","1016.13429085933","1","N_Slc30a3"
"2997859600416100111-mPFC_NF3_r1-mPFC","11637.1263054291","1016.56769327257","1","N_Slc30a3"
"2997859600416100115-mPFC_NF3_r1-mPFC","11716.9075708597","1024.98829871058","11","N_Lhx6"
"2997859600416100124-mPFC_NF3_r1-mPFC","11669.1132313426","1027.50128809892","1","N_Slc30a3"
"2997859600416100132-mPFC_NF3_r1-mPFC","11627.1588570228","1031.18913341218","13","N_Sst"
"2997859600416100143-mPFC_NF3_r1-mPFC","11733.0166318863","1041.29365011049","14","N_Sept4/Crym"
"2997859600416100148-mPFC_NF3_r1-mPFC","11646.3374277921","1039.93598817435","1","N_Slc30a3"
"2997859600416100153-mPFC_NF3_r1-mPFC","11680.7667882023","1046.05299671097","1","N_Slc30a3"
"2997859600416100156-mPFC_NF3_r1-mPFC","11704.7257104633","1045.10738769972","1","N_Slc30a3"
"2997859600416100172-mPFC_NF3_r1-mPFC","11656.7529991457","1058.11970389615","15","N_Nptx1/Car4"
"2997859600416100174-mPFC_NF3_r1-mPFC","11667.6765231326","1058.96081143458","1","N_Slc30a3"
"2997859600416100195-mPFC_NF3_r1-mPFC","11699.4620486158","1067.41983254804","4","N_Arhgap25"
"2997859600416100214-mPFC_NF3_r1-mPFC","11629.0102190634","1083.14307288428","13","N_Sst"
"2997859600416100259-mPFC_NF3_r1-mPFC","11636.1751986936","1009.47660442907","1","N_Slc30a3"
"2997859600416100260-mPFC_NF3_r1-mPFC","11679.9796868051","1006.72356658637","14","N_Sept4/Crym"
"2997859600416100261-mPFC_NF3_r1-mPFC","11696.7026165227","1010.79401577738","1","N_Slc30a3"
"2997859600416100262-mPFC_NF3_r1-mPFC","11727.5289232291","1012.53785243789","13","N_Sst"
"2997859600416100265-mPFC_NF3_r1-mPFC","11686.9951465759","1019.76444388456","1","N_Slc30a3"
"2997859600416100269-mPFC_NF3_r1-mPFC","11625.8356462688","1028.04300782672","13","N_Sst"
