Gene_pair,BLA_FR15-BLA,BLA_FR16-BLA,BLA_FR1_r0-BLA,BLA_FR1_r1-BLA,BLA_FR24-BLA,BLA_FR2_r0-BLA,BLA_HC11_r0-BLA,BLA_HC11_r1-BLA,BLA_HC1_r0-BLA,BLA_HC1_r1-BLA,BLA_NF11-BLA,BLA_NF1_r0-BLA,BLA_NF1_r1-BLA,BLA_NF2_r0-BLA,BLA_NF2_r1-BLA,BLA_NF3_r1-BLA,mPFC_FR2_r0-mPFC,mPFC_FR2_r1-mPFC,mPFC_FR3_r0-mPFC,mPFC_FR3_r1-mPFC,mPFC_HC11_r0-mPFC,mPFC_HC11_r1-mPFC,mPFC_HC11_r2-mPFC,mPFC_HC11_r3-mPFC,mPFC_HC1_r0-mPFC,mPFC_HC1_r1-mPFC,mPFC_HC1_r2-mPFC,mPFC_HC1_r3-mPFC,mPFC_NF2_r0-mPFC,mPFC_NF2_r1-mPFC,mPFC_NF3_r0-mPFC,mPFC_NF3_r1-mPFC
N_Vip-N_Tac1,-11.164290795624183,-11.037901733219146,-12.158729008298113,-11.502907651546492,-21.787184953115087,-10.422302646220647,-11.280080243262022,-12.67641310022034,-9.978543031916388,-11.303368826810512,-11.346716616628582,-10.402139414983509,-8.36194391441464,-9.029383271116107,-9.918567218408946,-8.232410731242753,-15.43708600571051,-15.508505009748419,-23.702930892299484,-24.54504458025348,-13.56649818673527,-14.613248445821352,-14.918120041815003,-15.283811531809807,-14.22745183338714,-15.51621493493852,-12.79198097387084,-10.548404037232334,-19.056584103964234,-17.868675296892178,-11.570340888190046,-19.26148868689296
N_Vip-N_Tshz2,3.2146082885766245,3.6910433785737986,7.983486021815376,5.6408250523108245,1.777995920386033,15.054860761049131,4.956348580336989,8.451867481162461,3.504940016109252,4.359678025571904,12.555053755037287,7.839050086359827,5.609159996193601,4.606340255718385,1.6134296840488516,4.256603237949732,0.0,-0.9410196514635519,-0.7183570764548193,0.0,-1.1404776277268827,-0.9432944001941774,1.809179370662395,0.0,-0.6102501144064574,-0.8279510062722947,-0.9973798663236206,-1.6610144964354756,-1.3950074453917658,-0.9260296914973639,-1.3120968721641464,-1.5160619137372044
N_Vip-N_Ass1,-4.493695406043425,-4.704604070020873,-4.679173305466075,-4.99074040159056,-4.662740822498415,-4.679715838667407,-5.363765666847237,-5.455891872014236,-4.085443102098373,-4.971896190422938,-2.109318770786897,-3.6244863138369086,-4.138403898434005,-4.6014220197796325,-3.270867269778621,-3.3787106189898357,1.5208223793600466,-1.733201240033449,-2.990435282560641,-4.7149070094107595,-1.6658921225798848,-1.2224316946889053,0.6984079632966591,-1.8649686429520094,-1.0570995991993,-1.3450603254694353,-0.7983963437840332,-1.4725844766419216,-1.366912285044343,-2.0756522977271996,-1.6055154707142685,-2.2134357765888306
N_Vip-N_Nrn1/Islr,-9.733646245244643,0.0,-6.677883530391923,-6.018131422703783,3.5728274149845425,-6.86784620780601,-10.66459917076837,-8.272230346467051,4.961212944386856,-3.258460212594076,3.5546759117417053,-1.5993254878303271,-4.439164756603212,-6.592032861066882,-6.171580626344504,-4.467124468802361,-1.5349461367676636,-2.546483052812308,0.0,0.0,-1.1513624113006304,-1.0007725842816741,-2.06290717019522,-0.7570344713999924,-1.7579009554521747,0.5124952541413405,-0.6393970479404033,1.480566922919832,0.0,-1.9995700998110464,-0.5884541272795077,-2.3332696595583693
N_Vip-N_Vipr2,-33.88022403460353,-33.462555047618366,-27.602954600654584,-26.519438073835744,-3.7592739366234356,-25.359379416164586,-29.15092474530556,-29.92363512126189,-19.694887817676047,-28.38459494441454,-29.426574371042495,-21.693734070104323,-22.27468886077143,-26.064432483510917,-27.453125667978686,-30.218286140226617,-1.5410044909064902,-4.256404008585746,-5.463179888996374,-3.3789266179080415,-1.1651958742824298,-1.2904674691664495,-3.2240786326402042,-2.6036067457443606,-2.83323784306458,-2.270044152565449,-3.3455718391805975,-1.3556476614119013,-2.6292022403134365,0.0,-4.635335119447511,-1.859493522651389
N_Vip-N_Tac2,-10.602982203029875,-9.764559761904959,-11.340587144365545,-8.862736478666644,-1.323402548709374,-10.950142204963328,-12.73081628961519,-11.505115826045095,1.0743994654665923,-10.427827871452365,-6.844784904127272,-8.345419151452683,-7.865052602996231,-10.572233131438168,-11.537347141689153,-8.00660237463111,-1.402659342209375,1.2302880819312991,0.8356458884068024,0.6409452947731838,2.085271739104875,0.0,0.756330518580734,0.0,0.0,0.0,1.3603608605474453,2.0864344843031453,0.0,-1.934113137646763,-2.1373320098803577,0.0
N_Vip-N_Pvalb,-8.943637987958867,-10.173415231745212,-9.33381640645087,-8.700188308456989,-8.688596647321924,-8.103900465577722,-9.612496849953379,-9.860640000429251,-6.043991996587838,-9.855652510238096,-9.940219050606068,-9.302155019884117,-7.657663636077547,-7.908367232607693,-8.42603099985411,-6.793222561966804,-1.6893848946950385,0.0,-1.0228568561931664,1.057855698389073,-1.059390766767347,0.0,-1.4244599228059678,-0.502131320992538,-1.2834784972886293,0.63084697698412,-1.6699237852565312,1.9113144267530484,-1.2455660578618055,-1.2668577837124597,0.6099171476443794,-1.788278493187541
N_Vip-N_Car4,-1.051306545741223,-0.6690248141301958,0.0,1.9341158311673128,-0.6721239770148241,-0.7124414101749161,-0.7838791554099963,-1.4496867800665167,-1.1076485424024387,-1.736310308184289,-1.3903798748010785,0.0,-1.3223535280752503,-2.4771976876635753,0.9233273972467563,-1.921989745390831,0.0,-0.6234018911262956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_Arhgap25-N_Arhgap25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_Arhgap25-N_Slc30a3,28.279669181481957,37.26101719809794,40.799280793468476,30.57556221578149,12.781444201231482,38.27185331834841,41.19461239428452,30.599030649897006,36.15101810231777,40.80946670739492,28.169827206950853,26.778531763893284,26.233627860862672,39.13583508414089,31.307918730748842,27.462306753500954,-14.824115206105217,-23.539558083756255,13.76098786130026,5.109437000521168,-7.9999268989141195,-4.487794406236641,0.0,-6.700108118669448,3.56075919928332,2.5989280400897514,-4.023302178790476,2.722584037292714,-7.787934382476954,-5.7834112831464575,-3.8501721788156433,-16.27489398648977
